5480,butter,tomato juice,fresh bread,magazines,,,,,,,,,,,,,,,,
3154,french fries,,,,,,,,,,,,,,,,,,,
3189,herb & pepper,,,,,,,,,,,,,,,,,,,
6569,spaghetti,mineral water,vegetables mix,cake,frozen smoothie,cottage cheese,green tea,,,,,,,,,,,,,
6141,chocolate,spaghetti,olive oil,carrots,,,,,,,,,,,,,,,,
1184,oil,salad,magazines,,,,,,,,,,,,,,,,,
6919,frozen vegetables,ketchup,green tea,,,,,,,,,,,,,,,,,
778,mineral water,vegetables mix,low fat yogurt,,,,,,,,,,,,,,,,,
4590,turkey,fresh tuna,frozen vegetables,tomatoes,parmesan cheese,spaghetti,mineral water,milk,almonds,vegetables mix,nonfat milk,whole wheat rice,,,,,,,,
3311,olive oil,eggs,cake,french fries,hot dogs,strawberries,asparagus,salad,green tea,,,,,,,,,,,
2035,cake,toothpaste,,,,,,,,,,,,,,,,,,
178,frozen vegetables,french fries,hot dogs,,,,,,,,,,,,,,,,,
750,whole wheat pasta,mineral water,olive oil,carrots,protein bar,low fat yogurt,,,,,,,,,,,,,,
2152,cake,,,,,,,,,,,,,,,,,,,
4735,herb & pepper,tomatoes,mineral water,chocolate,soup,milk,flax seed,honey,protein bar,,,,,,,,,,,
6161,eggs,,,,,,,,,,,,,,,,,,,
567,pancakes,eggs,cake,green tea,toothpaste,,,,,,,,,,,,,,,
126,grated cheese,whole wheat pasta,ground beef,spaghetti,cake,energy drink,,,,,,,,,,,,,,
5125,flax seed,eggs,green tea,chocolate,french fries,champagne,body spray,,,,,,,,,,,,,
3475,red wine,ground beef,mineral water,eggs,cottage cheese,brownies,,,,,,,,,,,,,,
1379,chocolate,,,,,,,,,,,,,,,,,,,
320,turkey,cooking oil,shampoo,,,,,,,,,,,,,,,,,
5592,mineral water,olive oil,mint,,,,,,,,,,,,,,,,,
1162,chicken,white wine,,,,,,,,,,,,,,,,,,
4580,burgers,,,,,,,,,,,,,,,,,,,
4305,cookies,,,,,,,,,,,,,,,,,,,
6018,mineral water,milk,salmon,,,,,,,,,,,,,,,,,
5962,low fat yogurt,,,,,,,,,,,,,,,,,,,
7355,mineral water,chocolate,,,,,,,,,,,,,,,,,,
5101,mineral water,,,,,,,,,,,,,,,,,,,
5763,shrimp,mineral water,cake,french fries,mushroom cream sauce,,,,,,,,,,,,,,,
4310,burgers,salmon,eggs,french fries,mushroom cream sauce,,,,,,,,,,,,,,,
297,eggs,whole wheat rice,chocolate,,,,,,,,,,,,,,,,,
5805,brownies,,,,,,,,,,,,,,,,,,,
1557,fresh tuna,grated cheese,meatballs,whole weat flour,green tea,,,,,,,,,,,,,,,
6140,turkey,,,,,,,,,,,,,,,,,,,
6726,soup,olive oil,,,,,,,,,,,,,,,,,,
4889,turkey,shrimp,eggs,french fries,,,,,,,,,,,,,,,,
1346,mineral water,eggs,,,,,,,,,,,,,,,,,,
3640,burgers,fresh tuna,spaghetti,energy bar,bacon,eggs,french fries,escalope,pancakes,gluten free bar,light mayo,,,,,,,,,
757,frozen vegetables,low fat yogurt,,,,,,,,,,,,,,,,,,
5257,pancakes,hot dogs,sparkling water,fresh bread,,,,,,,,,,,,,,,,
7287,turkey,ham,spaghetti,barbecue sauce,escalope,protein bar,,,,,,,,,,,,,,
1181,muffins,french fries,escalope,gluten free bar,,,,,,,,,,,,,,,,
355,frozen vegetables,tomatoes,eggs,green tea,frozen smoothie,light mayo,,,,,,,,,,,,,,
3028,ground beef,mineral water,french fries,protein bar,hand protein bar,salt,candy bars,,,,,,,,,,,,,
3095,french fries,,,,,,,,,,,,,,,,,,,
5296,whole wheat pasta,milk,champagne,cookies,pasta,body spray,,,,,,,,,,,,,,
101,turkey,burgers,ground beef,chocolate,soup,almonds,eggs,hot dogs,cottage cheese,,,,,,,,,,,
196,chocolate,,,,,,,,,,,,,,,,,,,
3715,tomato sauce,mineral water,almonds,eggs,cake,chocolate,brownies,,,,,,,,,,,,,
6398,mineral water,,,,,,,,,,,,,,,,,,,
2452,eggs,,,,,,,,,,,,,,,,,,,
6613,chocolate,salmon,french fries,cookies,tomato juice,,,,,,,,,,,,,,,
3999,toothpaste,,,,,,,,,,,,,,,,,,,
5981,oil,light mayo,,,,,,,,,,,,,,,,,,
4631,turkey,frozen vegetables,spaghetti,avocado,butter,chicken,whole wheat rice,cake,tomato juice,,,,,,,,,,,
3045,spaghetti,low fat yogurt,,,,,,,,,,,,,,,,,,
3540,spaghetti,strawberries,,,,,,,,,,,,,,,,,,
7426,turkey,ham,grated cheese,parmesan cheese,ground beef,olive oil,pancakes,,,,,,,,,,,,,
45,mineral water,chicken,cereals,clothes accessories,,,,,,,,,,,,,,,,
5226,eggs,energy drink,,,,,,,,,,,,,,,,,,
6026,milk,chocolate,french fries,low fat yogurt,,,,,,,,,,,,,,,,
6741,eggs,,,,,,,,,,,,,,,,,,,
4913,grated cheese,herb & pepper,ground beef,spaghetti,mineral water,butter,salmon,rice,extra dark chocolate,clothes accessories,french fries,,,,,,,,,
6066,chicken,,,,,,,,,,,,,,,,,,,
1567,eggs,ham,,,,,,,,,,,,,,,,,,
4129,mineral water,green tea,honey,,,,,,,,,,,,,,,,,
4914,herb & pepper,spaghetti,olive oil,low fat yogurt,,,,,,,,,,,,,,,,
5372,mineral water,energy bar,whole wheat rice,cake,yogurt cake,,,,,,,,,,,,,,,
5559,low fat yogurt,,,,,,,,,,,,,,,,,,,
647,mineral water,strawberries,,,,,,,,,,,,,,,,,,
5467,cookies,,,,,,,,,,,,,,,,,,,
2901,champagne,,,,,,,,,,,,,,,,,,,
1843,frozen vegetables,parmesan cheese,spaghetti,escalope,sparkling water,,,,,,,,,,,,,,,
5222,frozen vegetables,spaghetti,carrots,,,,,,,,,,,,,,,,,
3817,grated cheese,mineral water,chocolate,chutney,salmon,eggs,whole wheat rice,cake,,,,,,,,,,,,
3000,cookies,green tea,,,,,,,,,,,,,,,,,,
6420,cookies,,,,,,,,,,,,,,,,,,,
3937,black tea,eggs,whole wheat rice,low fat yogurt,green tea,,,,,,,,,,,,,,,
5249,energy bar,whole wheat rice,cake,french fries,low fat yogurt,green tea,,,,,,,,,,,,,,
5885,chocolate,red wine,frozen vegetables,tomatoes,ground beef,spaghetti,eggs,bug spray,green beans,green tea,french fries,cookies,,,,,,,,
1349,cookies,,,,,,,,,,,,,,,,,,,
7488,brownies,,,,,,,,,,,,,,,,,,,
4980,flax seed,eggs,whole wheat rice,green tea,chocolate,french fries,,,,,,,,,,,,,,
2130,turkey,mineral water,eggs,cake,french fries,yogurt cake,,,,,,,,,,,,,,
6390,energy bar,cake,chocolate,frozen smoothie,escalope,,,,,,,,,,,,,,,
6556,turkey,melons,,,,,,,,,,,,,,,,,,
7433,burgers,herb & pepper,shrimp,pasta,milk,whole wheat rice,cooking oil,french fries,cottage cheese,tomato juice,fresh bread,mint,,,,,,,,
5653,pasta,gluten free bar,,,,,,,,,,,,,,,,,,
4189,dessert wine,ground beef,pepper,butter,chicken,french fries,zucchini,,,,,,,,,,,,,
3144,eggs,,,,,,,,,,,,,,,,,,,
6904,cooking oil,cottage cheese,,,,,,,,,,,,,,,,,,
4629,french fries,,,,,,,,,,,,,,,,,,,
1532,tomatoes,ground beef,soda,frozen smoothie,mint,,,,,,,,,,,,,,,
1263,spaghetti,chocolate,cake,fresh bread,white wine,,,,,,,,,,,,,,,
2765,herb & pepper,ground beef,mineral water,chocolate,milk,french fries,low fat yogurt,,,,,,,,,,,,,
3233,white wine,,,,,,,,,,,,,,,,,,,
5525,whole wheat pasta,spaghetti,,,,,,,,,,,,,,,,,,
3982,blueberries,clothes accessories,french fries,frozen smoothie,escalope,fresh bread,,,,,,,,,,,,,,
193,french fries,yogurt cake,,,,,,,,,,,,,,,,,,
6667,milk,fresh bread,,,,,,,,,,,,,,,,,,
4400,cookies,,,,,,,,,,,,,,,,,,,
352,mineral water,avocado,chocolate,,,,,,,,,,,,,,,,,
312,escalope,pasta,,,,,,,,,,,,,,,,,,
1994,cookies,,,,,,,,,,,,,,,,,,,
4963,herb & pepper,red wine,spaghetti,almonds,,,,,,,,,,,,,,,,
6468,frozen vegetables,green grapes,eggs,chocolate,zucchini,,,,,,,,,,,,,,,
6313,herb & pepper,ground beef,mineral water,milk,whole weat flour,,,,,,,,,,,,,,,
5612,grated cheese,chutney,eggs,,,,,,,,,,,,,,,,,
1462,tomatoes,,,,,,,,,,,,,,,,,,,
6626,clothes accessories,antioxydant juice,green tea,,,,,,,,,,,,,,,,,
4152,salt,,,,,,,,,,,,,,,,,,,
6509,turkey,herb & pepper,ground beef,meatballs,pancakes,,,,,,,,,,,,,,,
1340,yogurt cake,,,,,,,,,,,,,,,,,,,
824,shrimp,whole wheat pasta,meatballs,milk,,,,,,,,,,,,,,,,
4288,eggs,cake,green tea,,,,,,,,,,,,,,,,,
4895,burgers,frozen vegetables,mineral water,olive oil,strong cheese,french fries,,,,,,,,,,,,,,
4137,ham,grated cheese,frozen vegetables,ground beef,spaghetti,,,,,,,,,,,,,,,
3374,avocado,yogurt cake,,,,,,,,,,,,,,,,,,
4920,mineral water,chocolate,,,,,,,,,,,,,,,,,,
44,soup,avocado,french fries,hot dogs,brownies,body spray,pancakes,green tea,,,,,,,,,,,,
4414,energy bar,candy bars,,,,,,,,,,,,,,,,,,
1009,pancakes,melons,green tea,,,,,,,,,,,,,,,,,
3691,turkey,ham,grated cheese,herb & pepper,red wine,shrimp,ground beef,spaghetti,mineral water,pancakes,whole wheat rice,cereals,,,,,,,,
3758,shrimp,,,,,,,,,,,,,,,,,,,
7282,spaghetti,avocado,honey,,,,,,,,,,,,,,,,,
3659,butter,low fat yogurt,,,,,,,,,,,,,,,,,,
6231,chocolate,muffins,,,,,,,,,,,,,,,,,,
393,spaghetti,,,,,,,,,,,,,,,,,,,
6684,chocolate,grated cheese,tomato sauce,spaghetti,eggplant,champagne,fresh bread,low fat yogurt,,,,,,,,,,,,
7196,french fries,,,,,,,,,,,,,,,,,,,
829,mineral water,honey,,,,,,,,,,,,,,,,,,
1401,fresh tuna,eggs,,,,,,,,,,,,,,,,,,
6802,cookies,,,,,,,,,,,,,,,,,,,
5292,pancakes,french fries,body spray,,,,,,,,,,,,,,,,,
7370,chocolate,,,,,,,,,,,,,,,,,,,
2369,avocado,energy bar,muffins,french fries,,,,,,,,,,,,,,,,
2917,burgers,tomatoes,ground beef,spaghetti,cake,hot dogs,white wine,,,,,,,,,,,,,
3307,milk,,,,,,,,,,,,,,,,,,,
7133,mineral water,fresh bread,,,,,,,,,,,,,,,,,,
284,chocolate,french fries,,,,,,,,,,,,,,,,,,
950,strawberries,,,,,,,,,,,,,,,,,,,
4547,spaghetti,,,,,,,,,,,,,,,,,,,
2717,tomato juice,,,,,,,,,,,,,,,,,,,
4469,brownies,,,,,,,,,,,,,,,,,,,
3900,escalope,green tea,,,,,,,,,,,,,,,,,,
4943,chocolate,cookies,champagne,,,,,,,,,,,,,,,,,
3888,burgers,butter,cake,cooking oil,eggplant,cereals,brownies,,,,,,,,,,,,,
1717,french fries,,,,,,,,,,,,,,,,,,,
5941,shrimp,gums,low fat yogurt,,,,,,,,,,,,,,,,,
449,cookies,,,,,,,,,,,,,,,,,,,
5141,chutney,escalope,,,,,,,,,,,,,,,,,,
1515,french fries,mayonnaise,,,,,,,,,,,,,,,,,,
2549,red wine,mineral water,green beans,french fries,,,,,,,,,,,,,,,,
2918,frozen vegetables,tomatoes,spaghetti,mineral water,muffins,cake,mushroom cream sauce,,,,,,,,,,,,,
2378,avocado,milk,eggs,ham,chocolate,french fries,pancakes,green tea,,,,,,,,,,,,
5217,red wine,shrimp,frozen vegetables,mineral water,milk,whole wheat rice,fresh bread,green tea,,,,,,,,,,,,
4076,chocolate,almonds,vegetables mix,eggs,whole wheat rice,frozen smoothie,cottage cheese,,,,,,,,,,,,,
5333,ground beef,spaghetti,milk,fromage blanc,carrots,low fat yogurt,,,,,,,,,,,,,,
4714,ham,eggs,champagne,,,,,,,,,,,,,,,,,
5024,red wine,green tea,,,,,,,,,,,,,,,,,,
7258,eggs,french fries,,,,,,,,,,,,,,,,,,
3521,frozen vegetables,eggs,melons,low fat yogurt,green tea,,,,,,,,,,,,,,,
7422,tomatoes,,,,,,,,,,,,,,,,,,,
4434,cookies,honey,,,,,,,,,,,,,,,,,,
7289,spaghetti,milk,olive oil,brownies,,,,,,,,,,,,,,,,
1781,butter,bacon,eggs,carrots,french fries,tomato juice,green tea,,,,,,,,,,,,,
6126,ham,,,,,,,,,,,,,,,,,,,
5107,tomatoes,,,,,,,,,,,,,,,,,,,
5048,olive oil,,,,,,,,,,,,,,,,,,,
3559,turkey,tomatoes,pepper,mineral water,soup,milk,cake,pet food,,,,,,,,,,,,
3709,herb & pepper,hot dogs,,,,,,,,,,,,,,,,,,
6302,eggs,pet food,,,,,,,,,,,,,,,,,,
1388,turkey,burgers,ground beef,milk,bacon,eggs,whole wheat rice,blueberries,cooking oil,green tea,,,,,,,,,,
2643,ground beef,pepper,spaghetti,cookies,,,,,,,,,,,,,,,,
5412,green tea,,,,,,,,,,,,,,,,,,,
4243,shrimp,ground beef,pepper,mineral water,whole wheat rice,,,,,,,,,,,,,,,
558,eggs,cookies,,,,,,,,,,,,,,,,,,
3772,burgers,ground beef,escalope,,,,,,,,,,,,,,,,,
1146,soup,oatmeal,green tea,,,,,,,,,,,,,,,,,
734,french fries,cookies,green tea,,,,,,,,,,,,,,,,,
5167,frozen vegetables,spaghetti,milk,,,,,,,,,,,,,,,,,
1692,spaghetti,cake,,,,,,,,,,,,,,,,,,
4449,burgers,ham,milk,,,,,,,,,,,,,,,,,
2038,mineral water,milk,olive oil,chicken,,,,,,,,,,,,,,,,
4551,burgers,fresh tuna,tomatoes,pepper,spaghetti,french wine,honey,chocolate,green tea,,,,,,,,,,,
6387,whole weat flour,,,,,,,,,,,,,,,,,,,
2204,frozen vegetables,tomatoes,butter,eggs,cake,bug spray,,,,,,,,,,,,,,
518,grated cheese,mineral water,olive oil,energy bar,,,,,,,,,,,,,,,,
2412,spaghetti,honey,low fat yogurt,,,,,,,,,,,,,,,,,
2552,french fries,,,,,,,,,,,,,,,,,,,
177,chocolate,body spray,,,,,,,,,,,,,,,,,,
5450,burgers,grated cheese,shrimp,chocolate,french fries,champagne,cookies,mushroom cream sauce,,,,,,,,,,,,
7232,herb & pepper,spaghetti,brownies,mint,,,,,,,,,,,,,,,,
507,burgers,pepper,soup,milk,pancakes,green tea,,,,,,,,,,,,,,
2441,cookies,babies food,,,,,,,,,,,,,,,,,,
5083,ground beef,spaghetti,mineral water,cake,magazines,green tea,,,,,,,,,,,,,,
1986,energy bar,,,,,,,,,,,,,,,,,,,
3250,mineral water,olive oil,cake,chocolate,,,,,,,,,,,,,,,,
1647,salmon,vegetables mix,,,,,,,,,,,,,,,,,,
6000,yams,,,,,,,,,,,,,,,,,,,
337,ham,spaghetti,french wine,vegetables mix,chocolate,french fries,,,,,,,,,,,,,,
1389,olive oil,,,,,,,,,,,,,,,,,,,
1502,champagne,,,,,,,,,,,,,,,,,,,
3463,tomatoes,ground beef,spaghetti,mineral water,,,,,,,,,,,,,,,,
4466,mineral water,vegetables mix,chocolate,,,,,,,,,,,,,,,,,
5306,mineral water,olive oil,,,,,,,,,,,,,,,,,,
1227,cookies,,,,,,,,,,,,,,,,,,,
2623,oil,,,,,,,,,,,,,,,,,,,
5067,frozen vegetables,spaghetti,mineral water,avocado,chocolate,french fries,cookies,melons,,,,,,,,,,,,
2927,low fat yogurt,,,,,,,,,,,,,,,,,,,
2098,tomato sauce,mineral water,,,,,,,,,,,,,,,,,,
4825,spaghetti,,,,,,,,,,,,,,,,,,,
1924,turkey,chocolate,whole wheat rice,oil,,,,,,,,,,,,,,,,
4534,frozen vegetables,avocado,milk,french fries,light mayo,,,,,,,,,,,,,,,
1624,french fries,cookies,,,,,,,,,,,,,,,,,,
2438,cookies,,,,,,,,,,,,,,,,,,,
636,ground beef,mineral water,chocolate,green tea,,,,,,,,,,,,,,,,
31,turkey,french fries,strawberries,,,,,,,,,,,,,,,,,
4372,spaghetti,flax seed,french fries,,,,,,,,,,,,,,,,,
3021,french fries,yogurt cake,,,,,,,,,,,,,,,,,,
390,turkey,,,,,,,,,,,,,,,,,,,
1964,chocolate,french fries,escalope,shampoo,,,,,,,,,,,,,,,,
6846,french wine,vegetables mix,,,,,,,,,,,,,,,,,,
2479,shrimp,frozen vegetables,vegetables mix,green grapes,eggs,champagne,,,,,,,,,,,,,,
5468,fresh tuna,ground beef,mineral water,chocolate,olive oil,french wine,eggs,,,,,,,,,,,,,
6093,eggs,,,,,,,,,,,,,,,,,,,
787,turkey,shrimp,mineral water,milk,almonds,strong cheese,cake,frozen smoothie,,,,,,,,,,,,
3266,soup,avocado,milk,honey,cottage cheese,green tea,,,,,,,,,,,,,,
1744,burgers,tomatoes,pepper,corn,cereals,escalope,low fat yogurt,,,,,,,,,,,,,
590,parmesan cheese,french fries,,,,,,,,,,,,,,,,,,
2571,mint,,,,,,,,,,,,,,,,,,,
6900,ground beef,spaghetti,yams,eggs,cookies,mushroom cream sauce,,,,,,,,,,,,,,
4845,frozen vegetables,olive oil,chocolate,french fries,escalope,mint,,,,,,,,,,,,,,
3229,french fries,cookies,,,,,,,,,,,,,,,,,,
3996,turkey,fresh tuna,spaghetti,fromage blanc,eggs,honey,bramble,green tea,escalope,cottage cheese,,,,,,,,,,
2581,spaghetti,cooking oil,green tea,cookies,zucchini,,,,,,,,,,,,,,,
5386,soup,light cream,cookies,,,,,,,,,,,,,,,,,
4529,turkey,mineral water,honey,whole wheat rice,,,,,,,,,,,,,,,,
2859,champagne,,,,,,,,,,,,,,,,,,,
6347,olive oil,,,,,,,,,,,,,,,,,,,
2647,mineral water,,,,,,,,,,,,,,,,,,,
5415,fresh tuna,ground beef,pepper,tomato sauce,chicken,soda,mint,,,,,,,,,,,,,
5701,soup,olive oil,chicken,cooking oil,cottage cheese,,,,,,,,,,,,,,,
1338,milk,butter,pancakes,eggs,,,,,,,,,,,,,,,,
5363,french fries,frozen smoothie,,,,,,,,,,,,,,,,,,
5565,vegetables mix,,,,,,,,,,,,,,,,,,,
2857,grated cheese,spaghetti,milk,honey,escalope,fresh bread,green tea,,,,,,,,,,,,,
6711,mineral water,milk,chicken,vegetables mix,green tea,,,,,,,,,,,,,,,
3134,ground beef,tomato sauce,spaghetti,mineral water,eggs,blueberries,french fries,green tea,,,,,,,,,,,,
1004,burgers,ham,chocolate,pancakes,cereals,,,,,,,,,,,,,,,
2203,soup,avocado,french fries,frozen smoothie,light mayo,tomato juice,green tea,,,,,,,,,,,,,
7033,cookies,energy drink,,,,,,,,,,,,,,,,,,
5677,eggs,french fries,,,,,,,,,,,,,,,,,,
4553,cereals,,,,,,,,,,,,,,,,,,,
6124,mineral water,,,,,,,,,,,,,,,,,,,
3330,chocolate,bacon,mint green tea,,,,,,,,,,,,,,,,,
4542,shrimp,frozen vegetables,tomatoes,strawberries,,,,,,,,,,,,,,,,
3602,tomatoes,mineral water,milk,olive oil,chicken,eggs,brownies,pancakes,low fat yogurt,,,,,,,,,,,
5377,turkey,burgers,whole wheat rice,eggplant,chocolate,cookies,toothpaste,,,,,,,,,,,,,
762,pepper,tomato sauce,escalope,,,,,,,,,,,,,,,,,
1732,cookies,,,,,,,,,,,,,,,,,,,
6090,frozen vegetables,milk,olive oil,almonds,green tea,french fries,frozen smoothie,protein bar,,,,,,,,,,,,
1689,burgers,avocado,french fries,,,,,,,,,,,,,,,,,
5331,french fries,melons,,,,,,,,,,,,,,,,,,
2247,herb & pepper,ground beef,spaghetti,mineral water,pancakes,tomato juice,,,,,,,,,,,,,,
1518,salmon,chicken,green tea,,,,,,,,,,,,,,,,,
2018,mineral water,cereals,chocolate,fresh bread,,,,,,,,,,,,,,,,
4891,grated cheese,oil,chocolate bread,green tea,french fries,cookies,shallot,light mayo,low fat yogurt,,,,,,,,,,,
3333,burgers,ham,shrimp,milk,muffins,eggs,whole wheat rice,carrots,oatmeal,pasta,low fat yogurt,,,,,,,,,
6794,tomato juice,,,,,,,,,,,,,,,,,,,
534,frozen vegetables,,,,,,,,,,,,,,,,,,,
6902,ground beef,spaghetti,mineral water,chocolate,salmon,chicken,chocolate,frozen smoothie,,,,,,,,,,,,
4978,avocado,eggs,fresh bread,low fat yogurt,green tea,,,,,,,,,,,,,,,
5743,spaghetti,mineral water,milk,eggs,ketchup,green beans,fresh bread,candy bars,,,,,,,,,,,,
1481,nonfat milk,tomato juice,green tea,,,,,,,,,,,,,,,,,
4279,eggs,chicken,green tea,french fries,,,,,,,,,,,,,,,,
6531,whole wheat rice,chicken,eggplant,green tea,french fries,,,,,,,,,,,,,,,
889,shrimp,mineral water,chocolate,avocado,butter,zucchini,green tea,,,,,,,,,,,,,
6486,turkey,ham,mineral water,chocolate,milk,chicken,eggs,cake,,,,,,,,,,,,
58,turkey,frozen vegetables,mineral water,cider,cooking oil,green tea,,,,,,,,,,,,,,
1280,grated cheese,red wine,spaghetti,mineral water,olive oil,vegetables mix,extra dark chocolate,green tea,,,,,,,,,,,,
2495,grated cheese,whole wheat rice,bug spray,pasta,green tea,,,,,,,,,,,,,,,
3454,pepper,cookies,green tea,,,,,,,,,,,,,,,,,
7121,red wine,spaghetti,,,,,,,,,,,,,,,,,,
639,frozen vegetables,mineral water,eggs,gums,cooking oil,frozen smoothie,cottage cheese,low fat yogurt,,,,,,,,,,,,
4492,shrimp,spaghetti,mineral water,chocolate,oil,protein bar,,,,,,,,,,,,,,
7262,eggs,,,,,,,,,,,,,,,,,,,
3219,cookies,,,,,,,,,,,,,,,,,,,
1587,spaghetti,mineral water,spinach,eggs,rice,mint green tea,french fries,frozen smoothie,escalope,body spray,melons,,,,,,,,,
3795,spaghetti,mineral water,whole wheat rice,,,,,,,,,,,,,,,,,
133,frozen vegetables,tomatoes,pepper,spaghetti,mineral water,pancakes,chicken,chili,tea,french fries,tomato juice,fresh bread,,,,,,,,
3752,shrimp,frozen vegetables,green tea,french fries,frozen smoothie,cookies,light mayo,,,,,,,,,,,,,
3331,red wine,frozen vegetables,french wine,champagne,green tea,,,,,,,,,,,,,,,
5605,shrimp,frozen vegetables,ground beef,spaghetti,mineral water,strong cheese,green beans,,,,,,,,,,,,,
6948,mineral water,,,,,,,,,,,,,,,,,,,
1097,ground beef,mineral water,chocolate,milk,olive oil,black tea,chicken,pancakes,whole wheat rice,oatmeal,champagne,frozen smoothie,fresh bread,mint,,,,,,
3499,cookies,,,,,,,,,,,,,,,,,,,
3071,tomatoes,frozen smoothie,,,,,,,,,,,,,,,,,,
1938,french fries,pancakes,yogurt cake,,,,,,,,,,,,,,,,,
4988,spaghetti,eggs,escalope,,,,,,,,,,,,,,,,,
3837,cookies,,,,,,,,,,,,,,,,,,,
5589,bramble,,,,,,,,,,,,,,,,,,,
7270,fresh tuna,whole wheat pasta,ground beef,mineral water,olive oil,whole wheat rice,cake,escalope,fresh bread,,,,,,,,,,,
2681,pepper,blueberries,,,,,,,,,,,,,,,,,,
7188,frozen vegetables,whole wheat pasta,olive oil,,,,,,,,,,,,,,,,,
3657,herb & pepper,ground beef,oatmeal,napkins,,,,,,,,,,,,,,,,
4665,oil,,,,,,,,,,,,,,,,,,,
6278,shrimp,frozen vegetables,tomatoes,spaghetti,soda,green tea,,,,,,,,,,,,,,
4143,mineral water,chocolate,chicken,escalope,,,,,,,,,,,,,,,,
1392,burgers,eggs,french fries,energy drink,,,,,,,,,,,,,,,,
6952,mineral water,muffins,,,,,,,,,,,,,,,,,,
5071,chicken,champagne,low fat yogurt,,,,,,,,,,,,,,,,,
1702,pancakes,mint,,,,,,,,,,,,,,,,,,
3199,spaghetti,,,,,,,,,,,,,,,,,,,
272,grated cheese,shrimp,pasta,tomatoes,milk,frozen smoothie,sandwich,,,,,,,,,,,,,
4569,burgers,eggs,chocolate,french fries,low fat yogurt,green tea,,,,,,,,,,,,,,
6339,escalope,pasta,,,,,,,,,,,,,,,,,,
6612,brownies,,,,,,,,,,,,,,,,,,,
7027,herb & pepper,spaghetti,mineral water,muffins,,,,,,,,,,,,,,,,
4607,chocolate,milk,olive oil,,,,,,,,,,,,,,,,,
7102,grated cheese,green tea,,,,,,,,,,,,,,,,,,
7495,butter,light mayo,fresh bread,,,,,,,,,,,,,,,,,
6644,antioxydant juice,,,,,,,,,,,,,,,,,,,
5204,frozen vegetables,tomatoes,mineral water,milk,vegetables mix,eggs,french fries,light mayo,cauliflower,,,,,,,,,,,
6180,escalope,,,,,,,,,,,,,,,,,,,
3816,whole wheat rice,french fries,frozen smoothie,escalope,,,,,,,,,,,,,,,,
2845,escalope,,,,,,,,,,,,,,,,,,,
3616,mineral water,,,,,,,,,,,,,,,,,,,
5744,shrimp,frozen vegetables,mineral water,milk,black tea,cereals,chocolate,pancakes,yogurt cake,,,,,,,,,,,
2612,frozen vegetables,spaghetti,mineral water,milk,eggs,extra dark chocolate,cottage cheese,pancakes,low fat yogurt,,,,,,,,,,,
5020,burgers,ground beef,mineral water,milk,,,,,,,,,,,,,,,,
2920,turkey,ground beef,yams,french fries,tomato juice,,,,,,,,,,,,,,,
1012,magazines,,,,,,,,,,,,,,,,,,,
2484,shrimp,mineral water,,,,,,,,,,,,,,,,,,
4803,burgers,chocolate,spaghetti,mineral water,olive oil,pancakes,eggs,mayonnaise,,,,,,,,,,,,
1214,olive oil,hot dogs,,,,,,,,,,,,,,,,,,
4616,ham,spaghetti,mineral water,french wine,frozen smoothie,cottage cheese,,,,,,,,,,,,,,
2403,chocolate,cottage cheese,,,,,,,,,,,,,,,,,,
6579,pepper,whole wheat rice,,,,,,,,,,,,,,,,,,
6266,escalope,,,,,,,,,,,,,,,,,,,
3845,spaghetti,soup,,,,,,,,,,,,,,,,,,
5601,parmesan cheese,whole wheat pasta,ground beef,spaghetti,yams,soup,milk,whole wheat rice,cake,,,,,,,,,,,
2244,pickles,french fries,yogurt cake,,,,,,,,,,,,,,,,,
5790,shrimp,ground beef,yams,mineral water,milk,cereals,chocolate,pancakes,fresh bread,,,,,,,,,,,
4116,ground beef,,,,,,,,,,,,,,,,,,,
4477,energy bar,eggs,french fries,melons,,,,,,,,,,,,,,,,
3226,ham,grated cheese,ground beef,spaghetti,milk,chicken,eggs,honey,burger sauce,french fries,body spray,fresh bread,,,,,,,,
7479,frozen vegetables,french wine,pancakes,french fries,champagne,strawberries,,,,,,,,,,,,,,
1436,ham,energy drink,,,,,,,,,,,,,,,,,,
2923,shrimp,frozen vegetables,tomatoes,milk,cake,cooking oil,cereals,antioxydant juice,chocolate,pancakes,energy drink,shampoo,fresh bread,,,,,,,
1716,butter,,,,,,,,,,,,,,,,,,,
1767,mineral water,whole wheat rice,,,,,,,,,,,,,,,,,,
2118,milk,cake,cookies,mushroom cream sauce,,,,,,,,,,,,,,,,
5655,burgers,eggs,pancakes,,,,,,,,,,,,,,,,,
5388,cereals,cookies,yogurt cake,tomato juice,fresh bread,green tea,,,,,,,,,,,,,,
6874,chocolate,escalope,,,,,,,,,,,,,,,,,,
6038,grated cheese,chocolate,champagne,,,,,,,,,,,,,,,,,
6850,eggs,,,,,,,,,,,,,,,,,,,
1108,muffins,hot dogs,brownies,,,,,,,,,,,,,,,,,
1677,whole wheat pasta,spaghetti,milk,,,,,,,,,,,,,,,,,
2175,eggs,soda,gluten free bar,white wine,,,,,,,,,,,,,,,,
4984,red wine,,,,,,,,,,,,,,,,,,,
4203,cookies,,,,,,,,,,,,,,,,,,,
6258,burgers,mineral water,eggs,green tea,low fat yogurt,,,,,,,,,,,,,,,
6981,spaghetti,blueberries,,,,,,,,,,,,,,,,,,
869,turkey,tomatoes,ground beef,soup,milk,butter,honey,cake,mint green tea,brownies,salt,,,,,,,,,
